SubjectCode,Condition,Condition_seq,IAF_Pre,IAF_Post,intercept_hit,amplitude_hit,intercept_RT,amplitude_RT,phi_hit,phi_rt
1,A,S2,8.30078125,7.8125,1.58067654896702,0.359773381616869,652.770098939158,37.8504895094784,-0.347616514925891,-0.625552347647754
1,B,S2,8.30078125,7.8125,1.43944806138723,0.154559117247067,601.897464428505,16.7181756491815,0.284785499322375,-1.62036599528558
1,C,S2,8.30078125,7.8125,1.40029109818972,0.0334248482925919,642.505162120956,33.1678904278738,2.70684105626776,-2.87133783831348
1,Sh,S2,8.30078125,7.8125,0.870436297093676,0.23599413357986,570.240859966951,4.68985567745579,2.43799039060866,-2.77791385029278
2,A,S3,10.498046875,10.25390625,-0.375777301814667,0.396594172998663,389.878354843842,16.0934440923209,2.19287215539594,2.93279388862687
2,B,S3,10.498046875,10.25390625,-0.598780461480111,0.22522629325048,358.852852781645,11.247486356446,-1.3779692164786,3.04622900139345
2,C,S3,10.498046875,10.25390625,-0.889074305874781,0.123959740637529,344.448863957446,6.14630905686065,-0.49981741705795,1.6531127630072
2,Sh,S3,10.498046875,10.25390625,-0.36710199962437,0.26479197506434,361.437318902665,7.71507684073988,-1.13868971166131,1.27018000097253
5,A,S3,11.71875,11.71875,1.2553373010248,0.0625720179605328,433.539357453649,13.4598075349489,-1.51066840950343,-1.88866930122407
5,B,S3,11.71875,11.71875,1.67918973626042,0.11244585214584,482.112010602161,58.6760787170902,-2.62872954348832,-1.25553827359524
5,C,S3,11.71875,11.71875,0.554840148320296,0.210503860672747,400.569764732694,6.6910284443963,-2.02531968174174,-3.081069239069
5,Sh,S3,11.71875,11.71875,0.944926140746548,0.270346372455803,447.961741579393,39.0611907903004,1.4840189396666,-1.88362786309481
6,A,S1,11.23046875,10.498046875,0.284442519786554,0.0474327619810512,454.840594895161,13.4181114630647,1.697878496274,1.49466824112119
6,B,S1,11.23046875,10.498046875,0.721540109402661,0.206004368943127,531.537654423536,65.8467429448046,-0.872696178991438,-2.85888433904175
6,C,S1,11.23046875,10.498046875,0.497552586209873,0.0717676408310343,504.182626645382,19.0287234826873,-2.97571759727142,-2.33213896754472
6,Sh,S1,11.23046875,10.498046875,0.404950427896486,0.0643879538217853,463.493934757812,30.2169769932345,0.212277335897835,-3.02266654675901
7,A,S1,10.498046875,NaN,-0.393745548969273,0.0934705405380469,434.817289973351,7.23849277656764,-1.3597344310264,-0.797727142712661
7,B,S1,10.498046875,NaN,-0.0443988828634195,0.157276661497248,493.110859714371,10.2204133432132,2.67590220557341,2.68301308531977
7,C,S1,10.498046875,NaN,-0.30334649174935,0.15030464208302,453.487951122754,9.46524734221227,-0.577897230246204,1.28658944245167
7,Sh,S1,10.498046875,NaN,0.126200448386022,0.26205220069382,451.95583004971,27.9964489857372,-1.69027546878974,2.64656876978069
8,A,S2,10.7421875,10.25390625,0.0808126708791605,0.0972188758383692,490.846462711032,25.5617770582074,2.53596477601665,-0.0691955793574125
8,B,S2,10.7421875,10.25390625,0.393348535254257,0.181369694993035,452.882649527699,16.1060305758949,1.36546184695232,1.39262246869441
8,C,S2,10.7421875,10.25390625,0.173728797213247,0.368567611431866,434.171879495838,17.586116651204,1.27059762412218,-1.36813202941
8,Sh,S2,10.7421875,10.25390625,-0.445008821720255,0.288252700968041,430.605368323667,42.048599063292,-1.7572528836779,-2.26380813213165
9,A,S1,10.009765625,10.009765625,-0.374687236008743,0.14538818013759,411.054946771436,13.3518415643603,-2.53088956047189,2.60761399640405
9,B,S1,10.009765625,10.009765625,-0.368114406990569,0.137193137531599,382.996720639868,22.9059574691443,-2.24666497122239,-1.38690704323197
9,C,S1,10.009765625,10.009765625,-0.647146403612556,0.110164754669463,385.277143200783,15.5128328577035,2.1664042538175,0.1607341806505
9,Sh,S1,10.009765625,10.009765625,-1.82418739345323,0.188829221191651,388.530603899125,15.1747039735987,-0.275325972533349,-1.06019061329508
10,A,S3,10.009765625,10.009765625,-0.403049508861005,0.295565261833721,546.969950131741,18.8434844284401,-0.810824426888775,1.85325660208331
10,B,S3,10.009765625,10.009765625,-0.201950772371154,0.110487065339773,469.205241772769,33.9144066867124,-1.89716245775597,-0.916214198086987
10,C,S3,10.009765625,10.009765625,-0.4919465499452,0.143356924905533,505.785218283762,11.4202866984402,-1.80022036712525,-1.28091501641898
10,Sh,S3,10.009765625,10.009765625,-0.648677125578255,0.187590288890419,443.248936624084,9.86682630529493,2.36316064305015,-3.04219785334166
11,A,S3,10.25390625,10.009765625,1.63934990595991,0.182835891156606,523.792157931849,47.065623584624,0.428912442337552,-0.605923368569866
11,B,S3,10.25390625,10.009765625,1.40310657171417,0.103491676729615,498.551356025975,43.3923120946244,-0.624674323022107,2.00316206779391
11,C,S3,10.25390625,10.009765625,1.02249302457243,0.160421831363941,465.020934151648,17.4126874310399,0.631638108042204,1.98313236459023
11,Sh,S3,10.25390625,10.009765625,0.834171783831211,0.772652487018513,431.368864150011,37.244680369989,1.95527084054334,0.0745238207701888
12,A,S1,8.7890625,7.8125,0.0187318455503515,0.201928794375527,530.696171375107,14.8163729323027,-2.33562830412999,-2.74664571303021
12,B,S1,8.7890625,7.8125,0.150963162794986,0.272559782056731,548.747818457995,32.6579144822839,-1.01502972973817,-0.358837010630751
12,C,S1,8.7890625,7.8125,0.0457374633293325,0.278595933268152,515.997798155764,21.2771596902115,-2.52331354390435,-2.61159649543983
12,Sh,S1,8.7890625,7.8125,-0.1184066828202,0.198051521728093,546.610665367839,13.5873195622169,2.48428124619989,1.0557335408695
13,A,S3,NaN,NaN,-0.590388366621436,0.211277106659502,405.480550328052,26.6878570039857,1.04415452210546,-2.79727706287075
13,B,S3,NaN,NaN,-0.755754158910045,0.361382555010205,393.397612191291,12.3296776699972,0.268458068397438,-0.0222981071420445
13,C,S3,NaN,NaN,-1.24356080567438,0.109681128665403,380.678035862532,31.2292228223587,-2.77799702441605,-0.623170088515368
13,Sh,S3,NaN,NaN,-0.739076930630896,0.145328884082254,414.515118507774,6.99568640654425,-0.279038008313199,-2.71967987750791
14,A,S2,11.23046875,11.23046875,-0.705659331858141,0.164095662910481,383.571259328422,14.2178713212106,-0.0764687467358996,-2.52476082574021
14,B,S2,11.23046875,11.23046875,-0.663200056756477,0.189304371942607,399.113901964336,9.93342024152686,2.10572436426528,-2.30866448861576
14,C,S2,11.23046875,11.23046875,-0.57595002057145,0.167465413965871,395.626228046519,15.521396161015,-1.26262989336218,1.7905727160899
14,Sh,S2,11.23046875,11.23046875,-0.624982464856633,0.290242977782443,389.025441137187,9.15237341783926,0.779181935898484,0.550470346773457
15,A,S2,NaN,NaN,-0.249308054708217,0.254421892614368,378.688670257836,6.91633635946159,-0.236035232729803,-2.88950700403997
15,B,S2,NaN,NaN,-0.337829112983116,0.343801488429738,381.711829436508,20.576326754168,1.51602360379825,-1.55280786056102
15,C,S2,NaN,NaN,0.0808625396440536,0.0445567833191436,382.353709669624,3.46671155353171,1.16841120027475,-0.0772751533955323
15,Sh,S2,NaN,NaN,0.0181484358686399,0.221279372645881,384.985485101295,13.0254342977449,2.06809584231523,2.75021753880542
16,A,S1,10.986328125,10.7421875,0.135803805750889,0.143094292324376,577.78432050313,26.6211702628285,-1.58822042405411,-1.9453489480556
16,B,S1,10.986328125,10.7421875,0.203839776309686,0.0347972847452928,545.12052628191,17.5071366379319,-2.34328278780033,0.110233691650555
16,C,S1,10.986328125,10.7421875,-0.162806946719676,0.0967225551885439,511.225041102905,10.5508893070354,1.91876497488039,1.79189057171212
16,Sh,S1,10.986328125,10.7421875,0.0183264247859294,0.234051602797054,497.994701489401,16.5753415464852,-2.49425745953121,2.08629776298126
17,A,S1,11.23046875,11.474609375,0.109345526409232,0.118519203409782,424.562676583822,21.063504629242,2.69849178336456,0.632687789325444
17,B,S1,11.23046875,11.474609375,-0.393415442711505,0.135286259707547,401.791270562694,22.565135606168,1.68362249690719,1.51859871676078
17,C,S1,11.23046875,11.474609375,-0.204242257312078,0.0421221875094869,412.894589588351,3.08206598160681,-2.10277060805559,-0.484377369396512
17,Sh,S1,11.23046875,11.474609375,-0.260003761215917,0.446390183157783,462.180563980301,5.71640148493654,-0.582265039774663,2.97224193122566
18,A,S1,10.7421875,10.25390625,0.989613609848422,0.108049431556365,411.673126331034,18.6418649075165,1.18675884029261,1.07864826062617
18,B,S1,10.7421875,10.25390625,0.674767423656823,0.276483046729794,430.994512860726,2.66969404749338,-1.14346739427201,0.56632222757288
18,C,S1,10.7421875,10.25390625,0.733698345379109,0.247579051211307,414.912911026325,15.8676296746593,-2.7130544249988,2.52288612285399
18,Sh,S1,10.7421875,10.25390625,0.13130887953527,0.241148097183706,392.468992934547,10.6422393175806,2.77883732323135,0.37350372671614
19,A,S3,9.27734375,9.27734375,-0.744527818315018,0.0778256902692656,383.639831249839,12.6447136367821,-2.14368361671586,-2.18873446007338
19,B,S3,9.27734375,9.27734375,-0.926713131734798,0.277270882683731,375.236816201883,10.1872441180221,3.03644220332702,-0.491040311561633
19,C,S3,9.27734375,9.27734375,-0.442480646361381,0.215917537573398,390.960668237358,2.30416044402933,-0.739342173355042,-2.64894938422013
19,Sh,S3,9.27734375,9.27734375,-0.55203370806446,0.206465432460215,366.722288814366,25.2682175628327,-2.74940692385594,3.09168311037598
20,A,S3,11.474609375,11.474609375,0.690830851014769,0.35107663000986,604.776170424683,49.0297468346118,-0.289567989576789,0.286532293837899
20,B,S3,11.474609375,11.474609375,0.486184264066671,0.208061902371632,602.919278346004,17.3965349670795,-0.714513359891166,1.78347772203293
20,C,S3,11.474609375,11.474609375,0.00406497911140696,0.0670021753362027,553.832766306774,25.6011490289829,1.84348795974677,1.59300742414284
20,Sh,S3,11.474609375,11.474609375,-0.26292013251983,0.0655149572423465,521.040961849721,27.4993436111637,-1.67903883266829,-2.22002533459129
21,A,S2,10.25390625,10.25390625,-0.936192001685745,0.156955864964499,403.547959014338,20.9966915598157,0.067999006065614,-1.26246349258491
21,B,S2,10.25390625,10.25390625,-1.08426897644534,0.159277392325377,397.533917994742,13.2540494050812,1.5596126735654,-2.02063364203478
21,C,S2,10.25390625,10.25390625,-1.21092831196619,0.112456486673177,388.017319126523,6.97152847265773,2.30118821485449,1.656415320584
21,Sh,S2,10.25390625,10.25390625,-1.17546983541969,0.152539637373454,385.754964583505,5.40020968848174,-0.638694388359261,1.23658134272227
22,A,S2,10.7421875,10.25390625,-0.39557646400246,0.1023955702047,523.342144571829,12.2538741162983,-0.288991740652014,2.39584870310638
